id: 8e63d5492ea94b40a50b0033a74ee3d8 url: Qci5ka9r54A                         
PCO: 0.0000          AAE: 54.8820                             
                                                              
gt_time              time_dif             word                
8.88                 -8.86                i                   
9.19                 -8.82                get                 
9.50                 -9.04                knocked             
9.81                 -9.14                down                
10.52                -9.52                but                 
10.65                -9.53                i                   
10.87                -9.71                get                 
10.96                -9.54                up                  
11.13                -9.63                again               
11.80                -10.17               you're              
11.97                -10.23               never               
12.37                -10.35               gonna               
12.68                -10.50               keep                
12.99                -10.69               me                  
13.16                -10.80               down                
13.52                -11.06               i                   
13.83                -11.13               get                 
14.13                -11.35               knocked             
14.44                -11.45               down                
15.15                -11.78               but                 
15.28                -11.82               i                   
15.50                -11.93               get                 
15.59                -11.92               up                  
15.77                -11.98               again               
16.38                -12.48               you're              
16.56                -12.54               never               
16.96                -12.83               gonna               
17.27                -12.95               keep                
17.58                -13.16               me                  
17.75                -13.13               down                
18.15                -13.44               i                   
18.46                -13.68               get                 
18.77                -13.87               knocked             
19.08                -14.02               down                
19.74                -14.58               but                 
19.87                -14.62               i                   
20.09                -14.80               get                 
20.18                -14.79               up                  
20.35                -14.90               again               
21.02                -15.40               you're              
21.19                -15.48               never               
21.59                -15.72               gonna               
21.90                -15.91               keep                
22.21                -16.13               me                  
22.38                -16.05               down                
22.74                -16.28               i                   
23.05                -16.55               get                 
23.35                -16.72               knocked             
23.66                -16.72               down                
24.37                -17.29               but                 
24.50                -17.31               i                   
24.72                -17.48               get                 
24.81                -17.48               up                  
24.99                -17.58               again               
25.60                -18.08               you're              
25.78                -18.17               never               
26.18                -18.45               gonna               
26.49                -18.64               keep                
26.80                -18.81               me                  
26.97                -18.87               down                
29.40                -21.20               pissing             
30.02                -21.59               the                 
30.28                -21.79               night               
31.21                -22.62               away                
34.03                -25.35               pissing             
34.65                -25.83               the                 
34.91                -26.00               night               
35.84                -26.83               away                
37.16                -27.99               he                  
37.25                -27.99               drinks              
37.38                -27.77               a                   
37.52                -27.81               whisky              
37.83                -27.98               drink               
38.31                -28.10               he                  
38.40                -28.12               drinks              
38.53                -28.06               a                   
38.66                -28.08               vodka               
38.97                -27.99               drink               
39.46                -28.13               he                  
39.55                -28.08               drinks              
39.68                -28.00               a                   
39.81                -28.09               lager               
40.12                -28.28               drink               
40.60                -28.53               he                  
40.69                -28.41               drinks              
40.83                -28.36               a                   
40.96                -28.38               cider               
41.27                -28.52               drink               
41.75                -28.85               he                  
41.84                -28.86               sings               
42.02                -28.81               the                 
42.15                -28.76               songs               
42.41                -28.81               that                
42.59                -28.85               remind              
42.90                -28.99               him                 
42.99                -28.97               of                  
43.16                -29.07               the                 
43.30                -29.14               good                
43.56                -29.10               times               
44.00                -29.31               he                  
44.09                -29.33               sings               
44.31                -29.43               the                 
44.44                -29.49               songs               
44.75                -29.69               that                
44.93                -29.72               remind              
45.19                -29.66               him                 
45.33                -29.66               of                  
45.50                -29.72               the                 
45.59                -29.69               better              
45.90                -29.67               times               
46.74                -30.40               oh                  
47.88                -31.45               danny               
48.81                -31.73               boy                 
50.22                -32.86               danny               
51.06                -33.44               boy                 
52.52                -34.71               danny               
53.44                -35.22               boy                 
55.12                -36.83               i                   
55.43                -36.93               get                 
55.74                -36.96               knocked             
56.05                -36.97               down                
56.75                -36.93               but                 
56.88                -36.92               i                   
57.10                -37.00               get                 
57.19                -36.81               up                  
57.37                -36.87               again               
58.03                -36.95               you're              
58.21                -36.94               never               
58.60                -36.92               gonna               
58.91                -36.91               keep                
59.22                -36.96               me                  
59.40                -36.98               down                
59.75                -36.86               i                   
60.06                -36.92               get                 
60.37                -36.97               knocked             
60.68                -36.98               down                
61.38                -36.94               but                 
61.52                -36.93               i                   
61.74                -37.02               get                 
61.83                -36.85               up                  
62.00                -36.89               again               
62.62                -36.92               you're              
62.80                -36.89               never               
63.19                -36.87               gonna               
63.50                -36.88               keep                
63.81                -36.93               me                  
63.99                -36.92               down                
64.38                -37.06               i                   
64.69                -37.09               get                 
65.00                -37.31               knocked             
65.31                -37.50               down                
65.97                -38.05               but                 
66.10                -38.09               i                   
66.33                -38.26               get                 
66.41                -38.23               up                  
66.59                -38.34               again               
67.25                -38.47               you're              
67.43                -38.55               never               
67.83                -38.62               gonna               
68.13                -38.68               keep                
68.44                -38.36               me                  
68.62                -38.28               down                
68.97                -38.33               i                   
69.28                -38.50               get                 
69.59                -38.37               knocked             
69.90                -38.54               down                
70.60                -39.15               but                 
70.74                -39.08               i                   
70.96                -39.18               get                 
71.05                -39.17               up                  
71.22                -39.28               again               
71.84                -39.64               you're              
72.02                -39.68               never               
