id: 20d0a6f4e991402598438d6721dc0040 url: 4I7qScX9X1Y                                   
PCO: 0.7203          AAE: 0.2731                                        
                                                                        
gt_time              time_dif             word                          
10.89                0.49                 it                            
11.27                0.83                 is                            
11.75                0.41                 a                             
26.64                0.85                 is                            
27.13                0.43                 a                             
31.44                0.44                 leaves                        
34.89                0.49                 to                            
41.57                0.43                 it                            
41.94                0.83                 is                            
42.39                0.45                 a                             
46.82                2.36                 endless                       
57.28                0.90                 is                            
57.77                0.49                 a                             
62.00                0.38                 and                           
62.27                0.37                 you                           
66.20                0.50                 seed                          
84.92                0.43                 to                            
85.44                0.37                 dance                         
100.40               0.31                 the                           
114.73               0.31                 seem                          
115.44               0.32                 to                            
118.82               0.52                 and                           
119.64               0.30                 soul                          
123.13               0.34                 of                            
130.97               0.47                 to                            
131.57               0.36                 live                          
137.94               0.55                 and                           
141.69               0.31                 been                          
150.28               0.31                 too                           
150.73               0.35                 long                          
153.24               0.60                 and                           
156.99               0.31                 love                          
157.74               0.49                 is                            
164.79               1.05                 and                           
165.62               0.34                 the                           
166.14               0.33                 strong                        
172.48               0.77                 in                            
180.05               0.37                 bitter                        
189.99               0.32                 love                          
191.72               0.78                 in                            

                    
                    
                             
id: fc595fdc4b5a4158931572d06b0b346e url: vfnSSbRucMU                                   
PCO: 0.7146          AAE: 0.2674                                        
                                                                        
gt_time              time_dif             word                          
59.26                2.29                 eh                            
81.88                0.36                 ooh                           
85.57                0.31                 mmm                           
86.04                0.31                 mmm                           
100.35               -2.00                mmm                           
101.27               0.31                 mmm                           
101.96               0.75                 easy                          
108.19               -0.37                doo                           
109.58               -0.36                doo                           
110.04               -0.59                doo                           
114.66               0.32                 doo                           
115.12               0.55                 doo                           
115.58               0.32                 doo                           
115.81               0.32                 doo                           
116.04               0.32                 doo                           
116.27               0.56                 doo                           
116.50               0.56                 doo                           
116.97               0.79                 doo                           
117.43               0.56                 doo                           
117.66               0.57                 doo                           
117.89               0.57                 doo                           
118.12               0.57                 doo                           
118.35               0.55                 doo                           
118.81               0.55                 doo                           
119.27               0.32                 doo                           
119.50               0.34                 doo                           
119.74               0.32                 doo                           
119.97               0.32                 doo                           
120.20               0.35                 doo                           
121.58               0.31                 doo                           
121.81               0.54                 doo                           
122.04               0.55                 doo                           
122.51               0.55                 doo                           
122.97               0.32                 doo                           
123.20               0.32                 doo                           
123.43               0.32                 doo                           
123.66               0.32                 doo                           
123.89               0.32                 doo                           
124.35               0.79                 doo                           
