id: 1554beb0375b48a98ee87208e0be5103 url: bIGv23PvfMo                         
PCO: 0.9640          AAE: 0.1808                              
                                                              
gt_time              time_dif             word                
17.61                0.09                 dj                  
17.99                0.12                 got                 
18.25                0.14                 the                 
18.50                0.07                 party               
19.14                0.03                 started             
19.66                0.08                 there's             
19.78                0.16                 no                  
20.04                0.23                 end                 
20.30                0.18                 in                  
20.55                0.06                 sight               
21.45                0.09                 everybody's         
22.61                0.10                 movin               
23.25                0.11                 to                  
23.50                0.11                 the                 
23.63                0.12                 rhythm              
24.14                0.07                 thats               
24.40                0.14                 inside              
25.04                0.10                 it's                
25.30                0.13                 a                   
25.55                0.08                 crazy               
26.58                0.07                 world               
27.09                0.10                 but                 
27.35                0.12                 tonight's           
28.37                0.11                 the                 
28.63                0.09                 right               
29.14                0.09                 situation           
31.20                0.08                 don't               
31.45                0.10                 get                 
31.71                0.08                 left                
32.22                0.10                 behind              
34.02                0.07                 i                   
34.14                0.15                 can                 
34.40                0.08                 feel                
34.66                0.12                 the                 
34.91                0.08                 music               
35.55                0.08                 movin               
36.07                0.08                 through             
36.32                0.08                 me                  
36.45                0.12                 everywhere          
37.86                0.08                 ain't               
38.37                0.10                 no                  
38.63                0.07                 destination         
39.53                0.08                 baby                
40.17                0.09                 we                  
40.30                0.10                 don't               
40.55                0.12                 even                
41.07                0.07                 care                
41.45                0.08                 there's             
41.71                0.11                 a                   
41.96                0.06                 place               
42.73                0.08                 to                  
42.99                0.08                 be                  
43.50                0.03                 if                  
43.76                -0.16                you                 
44.02                0.07                 need                
44.78                0.09                 the                 
45.04                0.09                 right               
45.55                0.32                 education           
47.61                0.08                 let                 
47.86                0.11                 it                  
48.12                0.10                 take                
48.63                0.13                 you                 
49.14                0.08                 there               
49.91                0.14                 just                
50.17                0.10                 go                  
51.71                0.09                 with                
51.96                0.11                 the                 
52.22                0.09                 magic               
53.25                0.08                 baby                
54.53                0.08                 i                   
54.78                0.10                 can                 
55.04                0.08                 see                 
55.30                0.10                 it                  
55.55                0.08                 there               
55.81                0.24                 in                  
56.07                0.10                 your                
56.32                0.35                 eyes                
57.86                -0.19                let                 
58.12                -0.14                it                  
58.37                0.06                 flow                
60.43                0.08                 stop                
60.94                0.08                 the                 
61.45                0.08                 waiting             
62.73                0.05                 right               
62.99                0.09                 here                
63.25                0.09                 on                  
63.50                0.09                 the                 
63.76                0.07                 dancefloor          
64.53                0.27                 is                  
64.78                0.09                 where               
65.04                0.11                 you                 
65.30                0.06                 gotta               
65.81                0.03                 let                 
66.07                0.08                 it                  
66.32                0.06                 go                  
66.58                0.10                 don't               
67.35                0.03                 stop                
67.86                0.07                 movin               
68.63                0.07                 can                 
69.14                0.11                 you                 
69.40                0.09                 feel                
69.66                0.09                 the                 
69.91                0.06                 music               
70.68                0.11                 dj's                
71.45                0.11                 got                 
71.71                0.24                 us                  
71.96                0.10                 goin                
72.48                0.33                 around              
73.76                0.10                 round               
74.78                0.09                 don't               
75.55                0.04                 stop                
76.07                0.09                 movin               
76.84                0.08                 find                
77.35                0.10                 your                
77.61                0.10                 own                 
77.86                0.08                 way                 
78.12                0.08                 to                  
78.37                0.15                 it                  
78.89                0.10                 listen              
79.66                0.07                 to                  
79.91                0.07                 the                 
80.17                0.07                 music               
80.94                0.09                 taking              
81.71                0.09                 you                 
81.96                0.11                 to                  
82.22                0.06                 places              
82.73                0.06                 that                
82.99                0.11                 you've              
83.25                0.08                 never               
83.76                0.08                 been                
84.02                0.08                 before              
84.53                0.08                 baby                
85.04                0.07                 now                 
93.50                -2.19                you                 
93.63                -1.34                can                 
93.89                0.07                 touch               
94.14                0.12                 the                 
94.40                0.10                 moment              
95.04                0.29                 almost              
95.55                0.10                 feel                
95.81                0.10                 it                  
95.94                0.09                 in                  
96.20                0.13                 the                 
96.45                0.09                 air                 
97.35                0.07                 don't               
97.86                0.07                 know                
98.12                0.07                 where               
98.37                0.07                 we're               
98.50                0.10                 goin                
99.02                0.05                 baby                
99.66                0.09                 we                  
99.78                0.10                 don't               
100.04               0.10                 even                
100.55               0.07                 care                
100.94               0.08                 ain't               
101.20               0.10                 no                  
101.45               0.08                 mystery             
102.99               0.07                 just                
103.50               0.14                 use                 
104.02               0.09                 your                
104.27               0.23                 imagination         
107.09               0.06                 let                 
107.35               0.08                 it                  
107.61               0.10                 take                
108.12               0.10                 you                 
108.63               0.10                 there               
109.14               0.26                 and                 
109.40               0.14                 just                
109.66               0.09                 go                  
111.20               0.09                 with                
111.45               0.09                 the                 
111.71               0.08                 magic               
112.73               0.08                 baby                
114.02               0.08                 i                   
114.27               0.07                 can                 
114.53               0.05                 see                 
114.78               0.07                 it                  
115.04               0.05                 there               
115.30               0.21                 in                  
115.55               0.07                 your                
115.81               0.11                 eyes                
117.35               -0.19                let                 
117.61               0.06                 it                  
117.86               0.06                 flow                
119.91               0.05                 stop                
120.43               0.07                 the                 
120.94               0.05                 waiting             
122.22               0.04                 right               
122.48               0.09                 here                
122.73               0.09                 on                  
122.99               0.09                 the                 
123.25               0.06                 dancefloor          
124.02               0.24                 is                  
124.27               0.08                 where               
124.53               0.10                 you've              
124.78               0.06                 gotta               
125.30               0.05                 let                 
125.55               0.10                 it                  
125.81               0.05                 go                  
126.07               0.10                 don't               
126.84               0.02                 stop                
127.35               0.07                 movin               
128.12               0.09                 can                 
128.63               0.11                 you                 
128.89               0.09                 feel                
129.14               0.09                 the                 
129.40               0.06                 music               
130.17               0.10                 dj's                
130.94               0.08                 got                 
131.20               0.24                 us                  
131.45               0.10                 goin                
131.96               -0.18                around              
133.25               -0.95                round               
134.27               -1.72                don't               
135.04               0.04                 stop                
135.55               0.08                 movin               
136.32               0.08                 find                
136.84               0.10                 your                
137.09               0.10                 own                 
137.35               0.08                 way                 
137.61               0.07                 to                  
137.86               0.12                 it                  
138.37               0.12                 listen              
139.14               0.07                 to                  
139.40               0.07                 the                 
139.66               0.04                 music               
140.43               0.06                 taking              
141.20               0.11                 you                 
141.45               0.08                 to                  
141.71               0.06                 places              
142.22               0.06                 that                
142.48               0.10                 you've              
142.73               0.05                 never               
143.25               0.05                 been                
143.50               0.07                 before              
144.02               0.07                 baby                
144.53               0.05                 now                 
161.45               -8.54                forget              
161.96               0.28                 about               
162.73               0.11                 your                
162.99               0.07                 fears               
163.50               0.09                 tonight             
165.04               0.06                 listen              
165.81               0.08                 to                  
166.07               0.08                 your                
166.32               0.03                 heart               
166.58               0.10                 let's               
166.84               0.10                 just                
167.09               0.07                 touch               
167.61               0.07                 the                 
168.12               0.02                 sky                 
169.59               -0.13                no                  
170.11               0.10                 need                
170.62               0.12                 to                  
171.13               0.10                 reason              
172.16               0.12                 why                 
173.25               0.07                 just                
173.50               0.05                 listen              
174.02               0.07                 to                  
174.27               0.07                 the                 
174.53               0.04                 sound               
174.78               0.09                 let                 
175.04               0.11                 it                  
175.30               0.06                 make                
175.81               0.06                 you                 
176.07               0.06                 come                
176.32               0.27                 alive               
177.35               0.06                 don't               
178.12               0.03                 stop                
178.63               0.07                 movin               
179.40               0.07                 can                 
179.91               0.09                 you                 
180.17               0.07                 feel                
180.43               0.09                 the                 
180.68               0.07                 music               
181.45               0.11                 dj's                
182.22               0.08                 got                 
182.48               0.25                 us                  
182.73               0.08                 goin                
183.25               0.31                 around              
184.53               0.07                 round               
185.55               0.07                 don't               
186.32               0.02                 stop                
186.84               0.09                 movin               
187.61               0.09                 find                
188.12               0.11                 your                
188.37               0.11                 own                 
188.63               0.08                 way                 
188.89               0.06                 to                  
189.14               0.24                 it                  
189.66               0.10                 listen              
190.43               0.07                 to                  
190.68               0.07                 the                 
190.94               0.05                 music               
193.76               -1.49                don't               
194.53               0.04                 stop                
195.04               0.08                 movin               
195.81               0.05                 can                 
196.32               0.10                 you                 
196.58               0.07                 feel                
196.84               0.07                 the                 
197.09               0.05                 music               
197.86               0.09                 dj's                
198.63               0.07                 got                 
198.89               0.23                 us                  
199.14               0.06                 goin                
199.66               0.32                 around              
200.94               0.08                 round               
201.96               -0.20                don't               
202.73               0.03                 stop                
203.25               0.09                 movin               
204.02               0.07                 find                
204.53               0.09                 your                
204.78               0.09                 own                 
205.04               0.06                 way                 
205.30               0.06                 to                  
205.55               0.11                 it                  
206.07               0.11                 listen              
206.84               0.08                 to                  
207.09               0.10                 the                 
207.35               0.05                 music               
208.12               0.07                 taking              
208.89               0.09                 you                 
209.14               0.07                 to                  
209.40               0.05                 places              
209.91               0.07                 that                
210.17               0.11                 you've              
210.43               0.06                 never               
210.94               0.06                 been                
211.20               0.06                 before              
211.71               0.06                 baby                
212.22               0.06                 nowand              
212.22               12.64                now                 

                    
                    
                   
id: 5c6a41a3e3bb49f79c051c6a4e577fe8 url: zMu_1IT4A9w                         
PCO: 0.9543          AAE: 0.1183                              
                                                              
gt_time              time_dif             word                
8.97                 0.11                 sittin              
9.65                 -0.37                in                  
10.14                0.08                 the                 
10.30                0.06                 railway             
10.98                0.09                 station             
11.55                0.06                 got                 
11.67                0.12                 a                   
11.91                0.09                 ticket              
12.40                0.07                 for                 
12.92                0.08                 my                  
13.12                0.09                 destination         
16.83                0.09                 mmh                 
19.81                0.08                 on                  
20.02                0.14                 a                   
20.34                0.09                 tour                
20.94                -0.03                of                  
21.02                0.20                 onenight            
21.79                0.08                 stands              
22.15                0.09                 my                  
22.48                0.07                 suitcase            
23.08                0.32                 and                 
23.48                0.06                 guitar              
24.05                0.24                 at                  
24.25                0.10                 hand                
24.98                -0.23                and                 
25.10                0.09                 every               
25.66                0.11                 stop                
26.06                0.19                 is                  
26.27                0.08                 neatly              
26.95                0.00                 planned             
27.40                0.09                 for                 
27.52                0.13                 a                   
27.80                0.06                 poet                
28.40                0.22                 and                 
28.69                0.13                 a                   
28.85                0.10                 oneman              
29.61                0.08                 band                
31.51                0.07                 homeward            
32.80                0.08                 bound               
34.41                0.07                 i                   
34.73                0.09                 wish                
35.02                0.13                 i                   
35.62                0.06                 was                 
36.67                0.06                 homeward            
37.96                0.07                 bound               
40.50                0.11                 home                
41.39                0.08                 where               
41.51                0.07                 my                  
41.75                0.04                 thoughts            
42.07                0.32                 escape              
42.72                0.28                 at                  
43.08                0.06                 home                
43.93                0.09                 where               
44.09                0.07                 my                  
44.33                0.04                 music's             
45.02                0.09                 playin              
45.62                0.07                 home                
46.47                0.08                 where               
46.59                0.08                 my                  
46.79                0.08                 love                
47.11                0.09                 lies                
47.60                0.09                 waitin              
48.20                0.09                 silently            
49.17                0.10                 for                 
49.98                0.06                 me                  
52.15                0.06                 every               
52.56                0.10                 day's               
53.16                0.21                 an                  
53.36                0.24                 endless             
54.01                0.11                 dream               
54.49                0.11                 of                  
54.81                0.09                 cigarettes          
55.82                0.08                 and                 
55.98                0.08                 magazines           
59.65                0.04                 mmh                 
62.35                -0.09                and                 
62.52                0.12                 each                
62.88                0.06                 town                
63.32                0.13                 looks               
63.56                0.16                 the                 
63.85                0.04                 same                
64.17                0.12                 to                  
64.41                0.06                 me                  
64.77                0.07                 the                 
65.02                0.08                 movies              
65.70                0.35                 and                 
66.06                0.08                 the                 
66.23                0.08                 factories           
67.44                0.10                 and                 
67.60                0.08                 every               
68.20                0.05                 stranger's          
68.81                0.08                 face                
69.13                0.20                 i                   
69.57                0.05                 see                 
69.90                0.08                 reminds             
70.54                0.06                 me                  
70.78                0.07                 that                
70.98                0.13                 i                   
71.39                0.07                 long                
71.75                0.10                 to                  
71.91                0.08                 be                  
73.93                0.06                 homeward            
75.18                0.07                 bound               
76.75                0.10                 i                   
77.11                0.08                 wish                
77.40                0.40                 i                   
77.96                0.07                 was                 
79.01                0.07                 homeward            
80.22                0.09                 bound               
82.72                0.07                 home                
83.56                0.06                 where               
83.69                0.08                 my                  
83.89                0.09                 thoughts            
84.25                0.12                 escape              
84.85                0.07                 at                  
85.22                0.03                 home                
86.06                0.09                 where               
86.19                0.09                 my                  
86.39                0.05                 music's             
87.11                0.11                 playin              
87.76                0.05                 home                
88.60                0.06                 where               
88.73                0.05                 my                  
88.89                0.08                 love                
89.21                0.08                 lies                
89.69                0.06                 waitin              
90.26                0.05                 silently            
91.27                0.04                 for                 
92.03                0.02                 me                  
93.97                0.13                 tonight             
94.37                0.10                 i'll                
94.77                0.09                 sing                
95.02                0.08                 my                  
95.38                0.06                 songs               
95.74                0.19                 again               
96.23                0.10                 i'll                
96.71                0.08                 play                
96.99                0.10                 the                 
97.23                0.04                 game                
98.00                0.25                 and                 
98.44                0.02                 pretend             
101.51               -2.17                mmh                 
102.72               -2.00                mmh                 
104.25               0.06                 but                 
104.45               0.07                 all                 
104.73               0.09                 my                  
105.10               0.07                 words               
105.46               0.08                 come                
105.70               0.10                 back                
106.06               0.10                 to                  
106.27               0.09                 me                  
106.67               0.22                 in                  
107.03               0.07                 shades              
107.40               0.12                 of                  
107.60               0.13                 mediocrity          
109.25               0.10                 like                
109.57               0.26                 emptiness           
110.46               0.17                 and                 
110.70               0.09                 harmony             
111.83               0.07                 i                   
112.19               0.01                 need                
112.48               0.05                 someone             
113.08               0.08                 to                  
113.24               0.08                 comfort             
113.89               0.08                 me                  
115.86               0.06                 homeward            
117.11               0.06                 bound               
118.65               0.06                 i                   
118.97               0.04                 wish                
119.29               0.07                 i                   
119.61               0.09                 was                 
120.90               0.03                 homeward            
122.07               0.09                 bound               
124.49               0.06                 home                
125.30               0.09                 where               
125.46               0.05                 my                  
125.66               0.06                 thoughts            
125.94               0.35                 escape              
126.59               0.13                 at                  
126.95               0.07                 home                
127.84               0.06                 where               
127.96               0.06                 my                  
128.12               0.06                 music's             
128.85               0.07                 playin              
129.45               0.07                 home                
130.30               0.06                 where               
130.42               0.06                 my                  
130.58               0.10                 love                
130.90               0.08                 lies                
131.39               0.09                 waitin              
131.91               0.10                 silently            
132.88               0.06                 for                 
133.73               0.05                 me                  
137.07               0.09                 silently            
138.12               0.04                 for                 
138.97               0.08                 mei'm               
138.97               0.33                 me                  

                    
                    
                   
id: 30c1489764bf40efa927c8de7699cf29 url: yqFz7T5v3iU                         
PCO: 0.4695          AAE: 0.4128                              
                                                              
gt_time              time_dif             word                
16.81                -14.00               now                 
17.07                -0.49                if                  
17.26                -0.43                you                 
17.51                -0.29                feel                
18.02                -0.47                that                
18.28                -0.40                you                 
18.53                -0.45                can't               
19.04                -0.42                go                  
19.30                -0.38                on                  
20.83                -1.70                go                  
20.83                -0.44                because             
21.34                -0.37                on                  
21.59                -0.44                all                 
21.85                -0.39                of                  
22.10                -0.46                your                
22.55                -0.40                hope                
22.80                -0.23                is                  
23.31                -0.67                and                 
23.31                -0.37                gone                
23.56                -0.39                all                 
24.07                -0.39                your                
24.58                -0.46                hope                
24.84                -0.41                and                 
24.84                -0.28                is                  
25.09                -0.46                your                
25.28                -0.42                life                
25.28                -0.12                gone                
25.54                -0.26                is                  
25.79                -0.39                filled              
26.18                -0.43                with                
26.56                -0.42                much                
27.07                -0.44                confusion           
28.53                -0.35                much                
28.79                -0.25                until               
28.79                0.07                 confusion           
29.49                -0.33                happiness           
30.32                -0.27                is                  
30.51                -0.35                just                
30.76                -0.16                an                  
31.02                -0.18                illusion            
31.46                -0.24                happiness           
32.23                -0.14                is                  
32.48                -0.33                just                
32.74                -0.33                an                  
32.74                -0.19                and                 
32.99                -0.35                your                
32.99                -0.26                illusion            
33.25                -0.35                world               
33.63                -0.22                around              
34.27                -0.23                is                  
34.52                -0.37                crumbling           
35.22                -0.33                down                
36.49                -0.32                darling             
37.45                -0.26                reach               
37.70                -0.23                out                 
38.72                -1.07                come                
38.85                -1.10                on                  
39.11                -0.73                girl                
40.19                -1.39                reach               
40.38                -0.26                on                  
40.57                -0.29                out                 
40.83                -0.31                for                 
40.95                -0.30                me                  
41.46                -0.30                reach               
41.72                -0.02                out                 
42.48                -0.27                reach               
42.74                -0.30                out                 
42.93                -0.23                for                 
43.18                -0.28                me                  
46.94                0.28                 ha                  
47.45                0.77                 i'll                
48.92                -0.21                be                  
49.17                -0.18                there               
50.95                -0.48                with                
50.95                -0.20                with                
51.21                -0.22                a                   
51.21                -0.18                a                   
51.46                -0.25                love                
51.46                0.06                 love                
51.72                0.01                 that                
51.97                -0.04                that                
52.23                -0.20                will                
52.23                -0.11                will                
52.48                -0.24                shelter             
52.48                0.22                 shelter             
53.18                -0.16                you                 
53.25                0.01                 you                 
55.41                -0.23                i'll                
56.88                -0.20                be                  
57.13                -0.39                there               
58.85                -0.65                with                
58.85                -0.16                with                
59.11                -0.18                a                   
59.11                -0.11                a                   
59.36                -0.20                love                
59.36                0.10                 love                
59.62                0.05                 that                
59.87                -0.02                that                
60.13                -0.18                will                
60.13                -0.06                will                
60.38                -0.23                see                 
60.38                -0.16                see                 
60.63                -0.20                you                 
60.63                -0.13                you                 
61.08                -0.16                through             
61.08                0.12                 through             
64.27                -0.09                when                
64.52                -0.12                you                 
64.78                -0.12                feel                
65.28                -0.14                lost                
65.99                -0.05                and                 
66.11                0.01                 about               
66.49                -0.07                to                  
66.75                -0.09                give                
67.00                0.37                 up                  
68.28                -0.14                to                  
